GEOTYPE,STATE,COUNTY,COUSUB,PLACE,CONCIT,NAME,STUSAB,LOW,LOWMOD,LMMI,LOWMODUNIV,LOWMOD_PCT,UCLOWMOD,UCLOWMOD_P
PLACE,01,,,00100,,Abanda CDP,AL,40,40,50,50,80.00%,,
PLACE,01,,,00124,,Abbeville city,AL,"1,090","1,520","1,850","2,460",61.79%,,
PLACE,01,,,00460,,Adamsville city,AL,"1,545","2,140","3,185","4,425",48.36%,,
PLACE,01,,,00484,,Addison town,AL,215,315,410,680,46.32%,,
PLACE,01,,,00676,,Akron town,AL,185,250,280,290,86.21%,,
PLACE,01,,,00820,,Alabaster city,AL,"5,980","8,815","15,035","31,600",27.90%,,
PLACE,01,,,00988,,Albertville city,AL,"6,230","10,125","13,430","21,110",47.96%,,
PLACE,01,,,01132,,Alexander City city,AL,"5,305","8,025","10,365","14,470",55.46%,,
PLACE,01,,,01180,,Alexandria CDP,AL,420,670,"1,585","3,910",17.14%,,
PLACE,01,,,01228,,Aliceville city,AL,"1,680","2,600","3,155","3,615",71.92%,,
PLACE,01,,,01396,,Allgood town,AL,245,455,625,805,56.52%,,
PLACE,01,,,01660,,Altoona town,AL,230,450,570,755,59.60%,,
PLACE,01,,,01708,,Andalusia city,AL,"2,465","3,765","5,435","8,720",43.18%,,
PLACE,01,,,01756,,Anderson town,AL,45,95,170,255,37.25%,,
PLACE,01,,,01852,,Anniston city,AL,"7,610","11,260","14,370","21,800",51.65%,,
PLACE,01,,,02116,,Arab city,AL,"1,685","2,950","4,175","8,165",36.13%,,
PLACE,01,,,02260,,Ardmore town,AL,540,"1,015","1,210","1,420",71.48%,,
PLACE,01,,,02320,,Argo town,AL,940,"1,520","1,955","4,145",36.67%,,
PLACE,01,,,02428,,Ariton town,AL,310,425,535,700,60.71%,,
PLACE,01,,,02500,,Arley town,AL,130,245,345,475,51.58%,,
PLACE,01,,,02836,,Ashford town,AL,540,880,"1,345","2,315",38.01%,,
PLACE,01,,,02860,,Ashland town,AL,580,"1,170","1,610","2,510",46.61%,,
PLACE,01,,,02908,,Ashville city,AL,770,"1,195","1,735","2,255",52.99%,,
PLACE,01,,,02956,,Athens city,AL,"6,515","11,320","15,160","23,380",48.42%,,
PLACE,01,,,03004,,Atmore city,AL,"2,330","4,190","5,380","7,965",52.61%,,
PLACE,01,,,03028,,Attalla city,AL,"1,465","2,330","4,150","5,810",40.10%,,
PLACE,01,,,03076,,Auburn city,AL,"21,615","26,930","33,215","54,190",49.70%,,
PLACE,01,,,03220,,Autaugaville town,AL,445,550,825,"1,120",49.11%,,
PLACE,01,,,03364,,Avon town,AL,170,305,400,595,51.26%,,
PLACE,01,,,03508,,Axis CDP,AL,90,165,535,910,18.13%,,
PLACE,01,,,03556,,Babbie town,AL,80,195,360,685,28.47%,,
PLACE,01,,,03676,,Baileyton town,AL,160,525,605,910,57.69%,,
PLACE,01,,,03724,,Bakerhill town,AL,40,95,145,210,45.24%,,
PLACE,01,,,03820,,Ballplay CDP,AL,215,760,855,"1,535",49.51%,,
PLACE,01,,,03940,,Banks town,AL,75,80,105,135,59.26%,,
PLACE,01,,,04660,,Bay Minette city,AL,"2,700","4,150","5,515","7,765",53.44%,,
PLACE,01,,,04684,,Bayou La Batre city,AL,860,"1,190","1,800","2,635",45.16%,,
PLACE,01,,,04852,,Bear Creek town,AL,385,505,810,"1,295",39.00%,,
PLACE,01,,,04900,,Beatrice town,AL,115,185,210,295,62.71%,,
PLACE,01,,,04948,,Beaverton town,AL,40,115,125,275,41.82%,,
PLACE,01,,,05140,,Belgreen CDP,AL,20,30,55,65,46.15%,,
PLACE,01,,,05164,,Belk town,AL,125,150,225,290,51.72%,,
PLACE,01,,,05188,,Bellamy CDP,AL,440,490,510,815,60.12%,,
PLACE,01,,,05212,,Belle Fontaine CDP,AL,220,285,345,540,52.78%,,
PLACE,01,,,05692,,Benton town,AL,0,0,15,50,0.00%,,
PLACE,01,,,05932,,Berry town,AL,470,650,835,"1,390",46.76%,,
PLACE,01,,,05980,,Bessemer city,AL,"11,835","17,175","21,135","26,205",65.54%,,
PLACE,01,,,06460,,Billingsley town,AL,40,60,140,175,34.29%,,
PLACE,01,,,07000,,Birmingham city,AL,"91,355","128,820","160,335","203,600",63.27%,,
PLACE,01,,,07120,,Black town,AL,35,60,75,155,38.71%,,
PLACE,01,,,07456,,Blountsville town,AL,"1,040","1,330","1,565","1,965",67.68%,,
PLACE,01,,,07588,,Blue Ridge CDP,AL,35,225,385,"1,460",15.41%,,
PLACE,01,,,07672,,Blue Springs town,AL,10,20,40,100,20.00%,,
PLACE,01,,,07912,,Boaz city,AL,"2,265","4,210","5,485","9,475",44.43%,,
PLACE,01,,,08104,,Boligee town,AL,395,500,555,640,78.13%,,
PLACE,01,,,08248,,Bon Air town,AL,50,70,95,105,66.67%,,
PLACE,01,,,08272,,Bon Secour CDP,AL,280,395,600,650,60.77%,,
PLACE,01,,,08680,,Boykin CDP,AL,40,40,65,65,61.54%,,
PLACE,01,,,09016,,Brantley town,AL,265,480,630,970,49.48%,,
PLACE,01,,,09064,,Brantleyville CDP,AL,280,570,845,"1,110",51.35%,,
